NORDNYTT,Norrbottens Kuriren, http://www.kuriren.nu/nyheter/
NORDNYTT,NSD, http://www.nsd.se/nyheter/
ÖSTNYTT/SÖRMLANDSNYTT,Norrköpings Tidningar, http://www.nt.se/nyheter/default.aspx?nav=Startsidan
VÄRMLANDSNYTT,Nya Wermlandstidningen, http://www.nwt.se/
NORDNYTT,Piteå Tidningen, http://www.pitea-tidningen.se/
VÄSTNYTT/HALLANDSNYTT,Skövde Nyheter, http://www.skovdenyheter.se/
ÖSTNYTT/SÖRMLANDSNYTT,Södermanlands Nyheter, http://www.sn.se/
Frank / SVT,SVT ABC, http://www.svt.se/nyheter/regionalt/abc/
SYDNYTT/BLEKINGENYTT,SVT Blekingenytt, http://www.svt.se/nyheter/regionalt/blekingenytt/
Frank / SVT,SVT Gävledala, http://www.svt.se/nyheter/regionalt/gavledala/
Frank / SVT,SVT Hallandsnytt, http://www.svt.se/nyheter/regionalt/hallandsnytt/
MITTNYTT/JÄMTLANDSNYTT,SVT Jämtlandsnytt, http://www.svt.se/nyheter/regionalt/jamtlandsnytt/
Frank / SVT,SVT Jönköpingsnytt, http://www.svt.se/nyheter/regionalt/jonkopingsnytt/
MITTNYTT/JÄMTLANDSNYTT,SVT Mittnytt, http://www.svt.se/nyheter/regionalt/mittnytt/
NORDNYTT,SVT Nordnytt, http://www.svt.se/nyheter/regionalt/nordnytt/
ÖSTNYTT/SÖRMLANDSNYTT,SVT Östnytt, http://www.svt.se/nyheter/regionalt/ostnytt/
Frank / SVT,SVT Smålandsnytt, http://www.svt.se/nyheter/regionalt/smalandsnytt/
Frank / SVT,SVT Gävleborg, http://www.svt.se/nyheter/regionalt/svtgavleborg/
Frank / SVT,SVT Sörmland, http://www.svt.se/nyheter/regionalt/svtsormland/
Frank / SVT,SVT Uppland, http://www.svt.se/nyheter/regionalt/svtuppland/
SYDNYTT/BLEKINGENYTT,SVT Sydnytt, http://www.svt.se/nyheter/regionalt/sydnytt/
TVÄRSNYTT/ VÄSTMANLANDSNYTT,SVT Tvärsnytt, http://www.svt.se/nyheter/regionalt/tvarsnytt/
VÄRMLANDSNYTT,SVT Värmlandsnytt, http://www.svt.se/nyheter/regionalt/varmlandsnytt/
VÄSTERBOTTENSNYTT,SVT Västerbottensnytt, http://www.svt.se/nyheter/regionalt/vasterbottensnytt/
TVÄRSNYTT/ VÄSTMANLANDSNYTT,SVT Västmanlandsnytt, http://www.svt.se/nyheter/regionalt/vastmanlandsnytt/
VÄSTNYTT/HALLANDSNYTT,SVT Västnytt, http://www.svt.se/nyheter/regionalt/vastnytt/
VÄRMLANDSNYTT,Värmlands Folkblad, http://www.vf.se/
VÄSTERBOTTENSNYTT,Västerbottens-Kuriren, http://www.vk.se/
ABC,SR P4 Stockholm,http://sverigesradio.se/stockholm/
ABC,SR P4 Uppland,http://sverigesradio.se/uppland/
ABC,Metro Stockholm,http://www.metro.se/stockholm/
ABC,Unt,http://www.unt.se/
